"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.887,18.578,1.204,0,10.149,"M1",3.542,1.059,56.816,4,-66.179
6.681,21.447,1.173,1,9.891,"M2",2.932,0.946,63.269,6,-68.171
6.642,20.351,1.2,3,9.484,"M1",2.105,1.064,63.601,6,-73.971
7.475,19.473,1.151,0,11.075,"M1",3.925,0.804,57.718,5,-67.705
6.909,20.225,1.039,1,10.718,"M1",3.039,0.973,65.32,6,-73.802
7.187,20.428,1.214,0,9.882,"M2",2.716,0.717,64.561,3,-63.957
6.848,20.804,1.189,1,10.309,"M1",2.231,1.336,59.65,4,-72.244
6.471,20.708,1.195,1,9.527,"M1",2.635,0.944,62.788,5,-78.497
6.451,19.198,1.098,2,9.614,"M1",3.465,1.095,58.276,8,-69.919
7.241,18.537,1.287,2,10.902,"M3",2.101,1.041,52.963,6,-63.674
6.764,20.868,1.121,0,9.36,"M1",2.495,1.062,61.705,9,-77.046
6.097,20.466,1.005,0,9.049,"M1",2.977,0.946,59.461,8,-77.33
6.85,20.216,1.343,0,10.143,"M3",3.306,1.156,57.864,5,-72.366
6.62,18.043,1.089,0,9.68,"M1",2.991,1.033,56.035,6,-61.702
7.014,20.371,1.288,1,9.857,"M2",2.689,0.944,59.02,9,-60.578
7.099,20.096,1.275,0,10.625,"M1",2.485,0.883,56.679,6,-72.327
6.972,19.018,1.258,2,9.666,"M1",3.166,0.681,57.851,8,-69.372
6.254,20.18,1.095,1,9.868,"M1",3.838,0.884,59.619,7,-75.292
7.311,21.182,1.123,1,10.052,"M1",3.648,1.327,58.735,9,-73.786
7.29,20.517,1.355,2,11.398,"M2",3.225,1.112,61.113,9,-59.783
6.935,19.863,1.26,3,11.319,"M1",2.987,0.665,56.405,7,-72.478
6.8,21.004,1.033,0,10.202,"M1",2.136,1.12,63.367,7,-77.543
6.553,20.097,1.269,0,10.205,"M1",3.46,1.121,59.777,9,-71.369
6.918,20.905,1.087,3,9.988,"M3",2.231,0.949,63.464,9,-78.047
6.774,20.558,1.158,1,10.218,"M1",2.433,1.258,63.357,7,-70.276
7.41,21.579,1.15,0,11.26,"M1",2.03,1.339,61.025,6,-73.158
6.719,20.218,1.315,0,10.244,"M3",2.351,0.92,61.121,8,-73.47
6.849,19.581,1.107,1,11.256,"M1",3.419,1.435,59.6,7,-67.015
7.163,20.166,1.245,1,10.779,"M1",3.945,1.543,59.414,4,-67.073
6.045,21.523,1.287,0,8.702,"M1",3.674,1.213,65.158,6,-80.878
6.772,19.681,1.069,2,9.691,"M1",2.265,0.939,56.807,5,-71.75
7.045,18.56,1.135,1,11.579,"M1",2.1,1.078,60.054,2,-64.163
7.062,19.133,1.111,1,11.571,"M2",2.095,0.844,56.163,5,-54.147
7.277,17.768,1.136,3,11.724,"M1",2.841,0.893,54.294,6,-59.918
7.017,20.592,1.24,1,11.644,"M2",3.954,0.54,58.358,5,-64.589
7.113,20.346,1.352,2,9.947,"M1",3.18,0.791,57.67,11,-71.841
6.632,20.119,0.917,0,9.76,"M1",2.423,0.855,57.678,7,-75.178
6.49,19.988,1.081,1,9.986,"M1",2.231,0.95,60.787,8,-74.653
6.667,19.353,1.112,2,9.835,"M1",2.755,0.903,57.365,5,-70.561
6.633,19.623,1.296,2,10.67,"M1",2.282,1.157,55.503,9,-70.244
6.927,20.169,1.282,2,9.935,"M1",3.39,1.371,63.217,4,-70.801
7.125,18.777,1.196,3,10.23,"M2",3.979,0.711,56.288,6,-55.609
6.382,18.851,1.006,1,8.97,"M2",2.938,0.754,57.748,9,-57.799
7.393,19.55,1.417,1,11.511,"M1",3.681,1.077,58.767,8,-67.558
7.174,20.804,1.184,1,10.828,"M1",2.782,0.803,61.807,6,-75.844
7.32,19.875,1.133,2,11.424,"M2",3.192,0.962,61.321,7,-59.325
7.147,20.487,1.145,0,9.905,"M1",2.613,1.059,63.718,7,-72.751
6.307,18.571,1.3,1,9.493,"M2",3.76,0.859,55.084,9,-55.342
6.874,20.582,1.108,0,10.972,"M1",2.398,0.939,65.466,4,-74.723
6.65,19.874,1.421,1,10.889,"M1",3.518,0.98,55.518,9,-70.156
6.936,21.01,1.164,0,11.262,"M3",3.559,0.871,64.012,9,-75.108
6.869,20.563,1.248,0,9.418,"M2",3.276,0.88,65.528,7,-64.156
7.304,21.341,1.32,3,10.398,"M1",2.667,0.825,65.441,6,-79.393
7.159,19.976,1.14,2,10.398,"M2",2.949,0.955,61.011,3,-59.037
6.49,20.517,1.304,2,9.471,"M2",3.861,0.787,63.979,8,-65.813
6.433,19.79,1.325,0,9.735,"M1",2.705,0.947,57.698,7,-72.835
7.469,19.675,1.219,2,11.541,"M2",2.298,0.995,56.001,6,-54.188
7.2,20.491,1.241,1,10.829,"M1",3.333,0.986,56.94,5,-71.704
6.112,20.539,1.009,0,9.31,"M1",2.728,0.867,60.098,7,-76.932
7.118,19.022,1.187,1,10.214,"M2",3.743,1.063,61.409,8,-53.672
6.693,21.685,1.227,1,10.13,"M1",2.804,0.84,64.921,8,-80.866
7.156,20.245,1.212,2,11.764,"M1",2.296,0.981,63.068,3,-72.702
7.184,20.287,1.241,2,10.249,"M1",2.557,0.855,60.985,8,-73.241
6.869,20.427,1.056,0,10.412,"M1",3.092,1.404,62.559,5,-72.056
6.969,21.379,1.062,0,11.042,"M1",2.474,0.94,63.396,8,-76.114
6.714,20.208,1.056,0,9.714,"M2",2.818,0.855,60.921,6,-60.693
6.6,20.028,1.266,1,9.338,"M2",3.387,1.018,59.116,7,-59.783
7.22,20.058,1.04,2,10.949,"M2",2.815,1.013,57.963,5,-58.087
7.083,21.146,1.121,0,11.213,"M3",3.164,1.014,61.024,5,-78.557
7.496,19.244,1.252,1,11.746,"M2",2.223,1.108,55.036,4,-52.256
8.034,21.422,0.932,3,12.543,"M2",2.938,0.801,62.619,7,-64.024
6.978,19.871,1.212,1,10.218,"M1",3.347,1.276,59.704,10,-68.396
6.931,20.054,1.204,1,9.113,"M1",2.833,1.147,58.394,8,-69.697
6.859,19.983,1.36,2,10.148,"M1",2.141,0.422,61.194,7,-76.287
6.527,20.388,1.285,0,10.171,"M2",2.721,0.935,61.827,7,-63.176
6.228,20.236,1.224,3,9.673,"M2",3.514,0.987,61.944,9,-65.497
6.802,19.735,1.192,0,10.971,"M2",2,0.699,58.159,6,-60.516
7.519,18.923,1.3,1,12.049,"M2",3.987,0.811,57.849,6,-53.663
7.577,18.842,1.375,2,11.045,"M2",3.097,0.947,54.297,5,-52.184
7.318,20.133,1.131,0,10.045,"M1",3.082,1.126,63.972,6,-71.964
6.571,19.175,1.312,1,9.745,"M1",3.572,1.28,57.322,4,-67.148
7.908,19.33,1.041,1,11.538,"M1",3.886,0.846,55.619,8,-66.473
6.435,20.09,1.122,1,8.771,"M1",3.717,1.149,58.929,7,-71.212
6.113,19.938,1.231,1,9.26,"M1",2.953,1.445,61.852,9,-72.62
6.875,19.942,1.18,2,11.028,"M1",2.931,0.904,59.158,7,-70.457
7.149,18.64,1.235,1,9.916,"M1",3.984,1.07,58.277,7,-62.484
7.084,19.529,1.169,1,10.378,"M2",2.13,0.95,56.477,8,-53.186
6.738,21.218,1.106,2,9.389,"M1",3.373,1.044,65.707,6,-76.207
7.398,19.835,1.283,2,12.337,"M2",3.001,1.088,61.548,5,-56.046
6.722,21.431,0.975,2,10.036,"M2",3.904,1.233,62.938,5,-64.129
6.973,19.514,1.133,0,10.405,"M3",2.074,1.001,57.589,7,-68.708
7.398,19.217,1.315,1,10.639,"M1",2.636,1.184,56.649,8,-64.311
7.313,21.829,1.344,1,13.356,"M1",2.655,1.067,69.444,4,-79.858
7.012,21.416,1.23,2,11.153,"M1",3.792,1.181,64.611,6,-76.33
7.454,20.854,1.23,3,10.516,"M1",2.55,0.722,61.212,6,-76.249
7.15,19.754,1.083,0,9.93,"M1",2.788,0.355,61.195,6,-73.377
6.723,18.43,1.119,0,10.474,"M2",4.032,0.918,55.722,10,-53.068
7.147,18.947,1.035,0,11.71,"M2",2.295,0.839,54.861,5,-54.174
7.382,19.551,1.194,0,11.502,"M1",2.312,1.504,59.581,4,-64.466
6.522,19.049,1.178,0,9.029,"M3",2.914,1.024,56.819,7,-67.952
7.055,19.05,1.151,0,11.206,"M2",2.146,0.76,58.728,6,-55.968
6.992,19.35,1.13,2,10.78,"M1",2.785,1.03,57.271,5,-67.929
7.153,20.038,1.061,0,11.05,"M1",2.525,0.871,59.556,5,-71.749
