"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
6.675,19.632,1.253,2,10.052,"M2",2.441,0.81,60.299,6,1.093,0.747,0.704,9.939,"nein",50,0.496,7.387,7,15.133,28.769
6.999,19.33,1.286,0,9.676,"M2",2.388,0.875,54.874,3,5.8,0.981,0.93,8.731,"ja",43,0.559,8.035,7,14.572,18.66
7.839,20.673,1.427,1,12.619,"M1",2.556,1.079,59.771,7,3.27,0.841,0.432,8.061,"nein",40,0.841,7.859,7,17.492,32.468
6.908,21.708,1.011,0,10.434,"M1",3.017,1.069,63.762,5,2.214,0.756,0.769,9.307,"nein",46,0.431,6.128,6,13.609,26.383
5.958,19.182,1.191,2,9.398,"M1",2.754,1.019,57.073,6,2.266,0.844,0.626,9.124,"ja",46,0.649,7.344,8,18.528,6.133
7.158,18.401,1.271,1,10.634,"M2",3.39,0.822,52.181,8,5.622,0.693,0.829,9.448,"nein",46,0.263,5.383,5,10.299,30.679
6.419,21.327,1.202,0,9.084,"M1",3.358,1.004,63.102,5,5.371,1.127,0.649,8.4,"nein",42,0.597,7.202,7,15.05,23.118
6.68,18.567,1.326,1,9.935,"M1",2.76,0.714,55.01,5,1.526,0.923,0.801,7.307,"ja",37,0.49,7.01,7,15.722,13.033
6.609,18.603,1.241,1,10.124,"M1",3.426,1.155,54.504,1,6.119,0.939,0.853,7.419,"ja",38,0.66,6.73,8,17.191,13.593
7.179,19.885,1.31,2,10.431,"M1",3.648,1.185,60.224,8,2.712,0.712,0.947,8.818,"nein",44,0.9,6.684,6,11.776,25.701
6.367,19.181,0.996,2,9.483,"M1",3.512,0.762,57.386,6,3.173,0.832,0.765,7.523,"nein",38,0.197,7.623,7,14.939,23.719
6.966,19.828,1.223,1,9.993,"M1",2.061,0.899,58.369,5,5.814,0.917,1.005,7.988,"ja",40,0.439,5.888,8,17.515,15.01
6.672,18.552,1.176,0,9.633,"M2",2.163,1.23,55.586,4,4.649,0.864,0.521,8.459,"ja",43,0.707,6.735,5,11.529,16.384
6.654,20.903,1.161,0,10.122,"M1",2.432,0.931,60.217,4,3.533,0.829,0.831,8.317,"nein",42,0.387,7.309,9,18.513,24.052
6.846,20.732,1.031,2,9.705,"M1",3.031,1.153,63.926,4,2.231,0.831,0.504,8.721,"ja",44,0.787,7.322,9,20.174,14.038
7.759,18.962,1.228,2,12.647,"M2",3.37,1.104,57.296,7,1.409,0.836,0.963,7.492,"ja",37,0.391,6.524,5,11.742,27.127
7.266,16.549,1.015,0,11.898,"M1",3.269,1.218,50.855,6,1.896,1.046,0.833,9.415,"nein",47,0.526,6.798,6,12.583,30.873
7.377,19.183,1.26,0,10.901,"M1",2.915,1.155,58.81,4,3.628,0.752,0.654,9.77,"nein",50,0.471,7.256,6,13.318,28.085
7.44,20.814,1.296,2,11.438,"M2",3.501,0.901,64.968,6,4.609,0.715,0.617,8.141,"nein",41,0.909,7.148,5,11.511,33.584
6.933,20.118,1.285,1,11.363,"M1",2.156,0.922,60.961,6,5.239,0.781,0.723,9.246,"ja",46,0.98,6.571,7,16.454,12.303
6.757,22.248,1.225,1,10.33,"M1",3.505,0.773,64.977,8,2.017,0.843,0.522,7.233,"ja",37,0.534,7.023,11,26.783,15.253
