"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
7.297,19.988,1.051,1,11.517,"M1",2.094,6.879,2.894,5,-31.992
5.459,21.177,1.159,1,8.62,"M1",2.809,7.654,2.467,6,-39.144
7.126,18.407,1.33,1,9.028,"M2",3.643,9.438,3.491,5,-0.078
7.252,19.761,1.179,2,10.191,"M1",3.459,8.527,2.678,4,-22.632
6.634,19.394,1.457,3,10.768,"M2",2.06,8.576,2.544,6,-12.563
6.996,20.35,1.115,3,10.526,"M1",2.121,8.302,3.549,3,-28.464
6.898,19.583,1.117,2,11.38,"M1",2.642,8.33,3.538,4,-24.449
7.439,19.655,1.233,0,11.927,"M2",2.911,6.847,4.541,4,-21.773
7.309,18.509,1.242,2,11.938,"M1",3.501,7.552,3.567,7,-22.746
7.139,20.398,1.168,2,10.799,"M1",3.107,7.298,3.743,8,-36.12
7.643,20.86,1.039,1,12.886,"M1",2.689,7.355,2.277,6,-33.718
7.006,20.589,1.378,1,8.815,"M1",2.101,7.823,3.285,4,-32.752
7.224,19.886,0.955,0,10.13,"M1",2.942,6.989,2.693,7,-32.533
6.867,19.736,1.214,0,9.939,"M1",2.883,6.385,1.91,5,-35.165
6.964,19.17,1.002,1,11.334,"M3",2.946,7.387,3.034,3,-28.111
6.522,19.476,1.216,0,9.829,"M2",2.021,8.13,3.025,6,-14.477
7.463,19.985,1.26,0,10.708,"M1",2.727,7.386,4.033,2,-28.071
7.176,20.079,1.234,1,11.631,"M1",2.642,7.066,3.823,7,-32.855
7.333,18.984,1.376,2,11.042,"M1",3.556,8.511,4.029,5,-19.056
7.123,20.422,1.326,0,11.114,"M2",1.989,7.982,3.036,5,-19.004
7.568,20.356,0.992,0,10.219,"M2",3.401,8.202,3.248,7,-15.579
6.76,20.191,1.241,3,10.322,"M1",2.351,8.137,3.125,8,-31.891
6.949,19.241,1.482,1,9.851,"M3",2.576,8.192,3.544,6,-26.071
7.21,20.081,1.296,0,11.968,"M2",2.466,7.469,2.922,5,-19.375
6.723,18.919,1.174,0,9.648,"M2",2.382,7.805,3.282,6,-13.96
6.702,22.287,1.067,0,9.071,"M1",2.616,6.903,3.52,7,-44.938
6.53,19.594,1.444,0,9.564,"M1",3.543,8.368,4.125,7,-26.855
7.227,17.885,1.33,0,11.462,"M2",2.893,7.531,2.872,8,-7.502
7.21,19.943,1.195,2,11.314,"M1",2.195,8.108,3.292,9,-25.243
7.256,20.451,1.347,1,10.912,"M1",3.158,7.393,3.239,4,-32.993
7.218,21.349,1.335,1,11.43,"M1",3.705,9.467,3.054,6,-25.008
7.184,19.379,1.252,2,10.578,"M2",2.147,7.95,2.372,4,-13.606
5.975,19.309,1.047,0,8.951,"M1",3.125,8.363,2.897,5,-24.014
7.252,19.853,1.227,2,11.333,"M2",2.249,8.765,1.872,3,-7.7
6.226,22.441,1.307,0,8.456,"M2",2.811,7.972,3.33,7,-30.164
7.708,19.588,1.336,1,11.113,"M1",3.615,8.722,2.557,7,-19.035
6.742,20.429,1.171,1,10.245,"M1",3.497,8.052,2.87,6,-29.93
7.038,19.877,1.005,0,9.804,"M3",3.838,7.865,3.294,4,-27.233
6.73,18.855,1.135,3,11.467,"M1",3.252,8.288,3.183,7,-20.237
7.288,21.346,1.165,2,11.049,"M2",2.248,7.878,4.393,8,-19.666
7.221,20.354,1.195,2,12.431,"M1",2.533,8.167,3.602,6,-26.152
7.378,20.998,1.125,0,10.588,"M1",2.605,8.243,2.805,6,-29.628
6.309,19.869,1.282,0,9.634,"M1",2.306,8.093,3.271,4,-30.31
7.542,20.241,1.187,0,11.75,"M1",2.492,8.304,2.188,7,-24.898
6.798,20.779,1.281,1,9.689,"M1",3.396,8.464,2.868,8,-29.218
6.585,18.925,1.514,0,9.985,"M1",3.44,7.771,4.014,8,-28.193
6.35,21.594,1.149,0,9.594,"M2",3.65,7.798,2.848,6,-26.075
6.913,19.203,1.201,1,10.243,"M2",2.712,7.853,2.719,6,-13.574
7.086,18.695,1.314,1,10.417,"M1",2.662,7.866,4.001,5,-23.238
7.383,19.889,1.223,0,11.509,"M2",2.749,6.883,3.856,5,-21.206
7.225,19.837,1.29,1,11.742,"M3",2.797,7.899,2.24,9,-25.716
7.141,20.307,1.161,0,10.681,"M1",2.981,7.685,3.376,8,-30.941
6.282,21.555,1.311,1,10.534,"M2",3.061,7.24,3.521,7,-30.997
6.873,19.766,1.074,3,10.603,"M2",3.592,8.372,3.738,10,-13.128
7.036,19.342,1.441,3,11.711,"M1",2.382,8.147,1.904,7,-22.351
7.094,21.436,1.145,1,10.003,"M1",3.828,8.179,2.03,5,-34.132
7.203,19.001,1.071,0,11.218,"M1",2.27,7.777,3.549,7,-22.238
7.824,18.432,1.156,1,11.65,"M1",2.106,7.887,2.034,7,-18.176
7.147,20.659,1.228,2,10.522,"M1",3.24,8.555,3.389,2,-28
6.913,19.994,1.342,1,9.844,"M2",2.459,8.11,3.768,7,-15.716
7.324,23.482,1.107,1,11.719,"M1",3.902,8.088,3.274,4,-41.189
6.686,20.501,1.177,0,10.316,"M1",2.949,7.422,2.702,9,-35.702
7.47,19.466,1.162,1,10.839,"M1",2.615,7.497,3.405,7,-26.46
7.346,19.939,1.058,1,9.799,"M2",3.561,7.328,3.605,5,-18.271
7.429,19.603,1.178,0,9.863,"M1",3.411,7.927,4.254,4,-26.67
7.167,21.406,1.188,0,10.264,"M2",3.258,8.957,4.078,6,-16.853
7.005,19.983,1.358,1,11.814,"M3",3.491,8.242,3.605,5,-27.167
6.197,18.702,1.139,0,9.168,"M2",3.194,8.639,2.585,5,-10.181
7.076,20.949,1.154,2,10.691,"M1",3.642,7.8,4.338,8,-34.663
6.128,21.139,1.174,1,9.469,"M1",2.219,8.315,3.094,5,-36.744
7.284,18.537,1.258,0,10.627,"M2",3.009,6.745,2.558,6,-16.447
7.645,17.933,1.061,0,10.441,"M1",3.765,7.342,1.825,7,-19.666
8.077,20.284,1.264,2,12.498,"M2",2.712,8.552,3.574,6,-11.048
6.814,20.351,1.193,0,9.745,"M2",2.986,9.545,3.822,5,-9.494
6.885,19.08,1.356,1,9.288,"M2",2.339,8.092,2.851,7,-12.138
7.305,21.792,1.16,0,9.723,"M2",3.693,7.226,2.714,3,-27.661
7.092,19.587,1.2,0,10.15,"M1",3.373,8.073,2.544,6,-27.248
6.644,19.135,1.082,1,10.557,"M3",2.209,7.024,2.563,5,-30.492
7.088,20.212,1.24,3,11.638,"M1",3.062,9.485,3.388,2,-21.248
7.548,19.247,1.261,0,9.776,"M1",2.141,7.897,3.431,6,-23.734
6.836,19.48,1.336,1,11.386,"M1",3.776,7.966,2.425,4,-25.268
7.115,18.721,1.138,1,9.607,"M1",3.587,7.857,3.036,8,-21.059
6.881,19.375,1.141,2,10.301,"M1",3.84,7.822,4.574,8,-27.979
6.945,20.768,1.129,2,11.642,"M2",3.983,7.601,3.21,5,-22.734
6.556,20.958,1.205,1,9.783,"M3",3.888,8.819,2.519,9,-30.024
6.908,21.095,1.44,1,10.509,"M2",2.075,6.606,2.05,4,-31.172
6.875,21.041,1.274,1,9.607,"M2",3.412,9.163,3.378,6,-14.392
7.381,17.248,1.212,0,11.381,"M2",1.994,8.238,3.948,7,-0.413
7.44,17.923,1.257,2,11.534,"M1",2.094,9.479,2.87,7,-7.903
6.891,19.777,1.162,1,10.449,"M2",3.362,8.251,3.056,6,-13.007
7.378,20.801,1.118,0,11.276,"M1",2.39,7.733,3.01,8,-31.979
7.115,19.157,1.349,2,10.638,"M1",2.354,8.009,2.91,8,-26.695
6.805,19.087,1.282,1,9.549,"M1",2.77,7.674,3.747,4,-26.574
6.981,22.11,1.17,0,10.19,"M1",2.313,7.481,3.391,6,-42.794
7.266,19.994,1.223,1,10.959,"M1",3.588,8.429,4.716,7,-24.157
7.024,19.598,1.357,0,8.884,"M1",3.57,7.544,2.497,6,-27.818
6.925,19.924,1.196,2,10.934,"M1",2.628,7.579,2.487,5,-30.112
6.669,20.021,1.12,0,10.048,"M3",3.886,8.368,4.733,4,-26.606
7.283,18.884,1.262,1,10.057,"M1",3.102,7.15,3.407,8,-27.032
7.866,20.544,1.383,1,11.61,"M3",2.963,8.069,3.266,5,-28.341
6.975,18.455,1.136,2,10.516,"M1",2.153,8.275,2.159,9,-17.191
7.139,19.212,1.08,0,9.594,"M2",3.201,7.644,4.096,7,-13.008
6.771,20.362,1.33,1,9.674,"M2",3.566,7.657,3.062,7,-21.425
6.765,19.496,1.212,0,10.515,"M1",2.715,8.058,2.98,4,-26.951
7.685,19.522,1.263,0,10.069,"M3",2.002,7.188,2.536,7,-29.161
7.4,19.741,1.249,0,10.468,"M2",2.993,8.494,2.814,5,-9.588
6.976,20.444,1.342,0,11.068,"M1",2.099,8.469,2.968,7,-27.795
7.15,21.502,1.364,2,10.902,"M1",2.123,8.033,3.864,6,-34.076
6.778,21.257,1.263,2,10.547,"M1",2.69,8.592,3.083,5,-29.734
7.639,21.708,1.369,1,10.582,"M1",2.339,8.473,2.205,6,-28.074
6.589,18.826,1.314,1,8.999,"M3",3.34,8.103,2.707,4,-22.47
6.819,18.372,1.17,0,10.988,"M3",3.733,7.793,2.845,6,-20.074
7.862,18.458,1.067,1,11.769,"M1",3.437,7.912,2.736,4,-16.722
6.915,18.34,1.119,0,11.085,"M1",3.996,7.553,2.782,5,-23.065
7.345,20.44,1.173,2,11.056,"M2",2.125,8.181,3.557,5,-16.223
7.076,20.471,1.387,0,11.844,"M2",3.083,8.564,3.367,6,-13.841
6.929,20.096,1.182,1,10.884,"M1",3.297,8.15,3.708,9,-26.44
6.883,21.622,1.148,2,11.029,"M2",3.489,7.707,2.035,8,-25.759
6.306,19.083,1.182,2,9.649,"M1",2.285,7.814,3.287,7,-27.726
6.931,19.897,1.171,2,11.226,"M2",3.299,7.424,4.802,5,-19.433
6.626,20.334,1.262,0,9.574,"M2",2.344,9.012,3.181,8,-13.563
6.794,20.025,1.128,2,9.926,"M1",3.448,7.529,3.273,7,-30.628
7.648,19.108,1.069,0,11.945,"M3",2.251,7.238,4.387,9,-25.466
6.727,19.569,1.142,1,9.801,"M1",3.626,8.022,2.352,5,-29.243
6.909,20.192,1.058,1,10.372,"M1",2.703,8.802,2.409,7,-23
6.823,18.432,1.325,0,10.218,"M2",2.464,7.743,3.034,6,-11.819
6.425,21.423,1.267,1,9.774,"M1",3.844,8.678,2.378,3,-34.539
6.844,20.134,1.093,2,10.748,"M3",3.671,6.994,3.196,4,-35.18
6.8,19.331,1.311,0,9.13,"M1",3.428,8.132,2.213,6,-23.357
7.359,21.183,1.135,0,11.263,"M1",2.073,8.672,1.869,7,-27.105
