"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
7.705,18.8,1.08,2,11.393,"M2",3.973,7.511,53.229,6,6.71,0.78,17.67,8.162,"nein",41,0.365,7.407,9,20.974,20.48
6.632,19.87,1.223,0,9.259,"M1",3.761,8.137,58.67,6,1.347,0.785,13.546,9.937,"nein",50,0.465,8.317,8,17.205,-50.938
7.048,18.886,1.083,3,10.989,"M1",2.731,7.774,55.946,9,1.486,0.788,16.973,8.908,"nein",44,0.677,7.147,9,18.764,-1.897
7.018,18.046,1.274,1,10.041,"M1",3.201,7.399,52.52,7,6.555,0.916,16.099,9.154,"ja",46,0.603,5.628,9,20.288,-20.91
6.858,18.788,1.132,0,10.584,"M3",2.388,7.825,52.518,7,1.548,0.937,13.685,8.135,"ja",40,0.432,7.434,6,14.06,-28.714
6.846,19.76,1.056,1,11.578,"M2",3.884,8.089,60.088,8,4.847,0.715,17.35,9.12,"ja",46,0.785,6.002,5,11.698,-8.482
6.32,20.47,1.118,2,9.588,"M2",3.854,8.501,64.373,6,1.122,0.71,17.752,9.025,"ja",46,0.78,5.931,3,6.984,-11.082
6.396,18.358,1.062,0,9.679,"M1",2.17,8.658,57.849,6,6.398,0.806,14.473,8.714,"ja",42,0.002,6.884,7,16.262,-23.182
6.691,19.054,1.31,1,11.064,"M3",2.434,7.543,56.763,7,6.249,0.868,15.661,9.941,"nein",49,0.803,7.887,8,18.518,-32.922
6.282,20.539,1.064,3,8.218,"M1",2.133,8.875,59.339,7,3.498,0.909,12.766,9.817,"ja",49,0.912,6.095,5,11.492,-59.371
7.129,21.146,1.21,0,10.883,"M1",3.441,7.353,61.265,7,2.31,0.817,12.335,9.476,"ja",46,0.512,7.904,10,21.116,-62.87
6.902,20.935,1.101,0,9.607,"M1",2.769,6.932,65.337,7,3.837,0.711,15.586,8.45,"ja",42,0.56,6.316,8,18.462,-33.817
7.09,20.705,1.291,1,10.519,"M1",2.3,7.31,60.925,5,4.786,0.856,13.282,7.926,"ja",40,0.021,7.831,12,27.082,-36.847
8.117,20.129,1.262,0,13.649,"M1",3.611,7.644,58.618,3,6.058,0.893,14.509,9.714,"ja",49,0.26,7.639,8,16.719,-42.812
7.209,21.227,1.049,1,10.522,"M2",2.445,8.294,60.545,5,3.151,0.832,16.186,9.904,"ja",49,0.805,7.699,9,20.861,-28.745
6.43,20.5,1.108,1,9.112,"M3",2.218,8.359,63.295,4,6.947,0.823,14.011,7.687,"nein",39,0.835,7.596,4,8.278,-24.408
