"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
8.186,19.255,1.281,2,11.484,"M3",2.859,8.842,3.472,5,1.515,0.897,15.206,7.695,"ja",39,0.069,6.046,7,12.152,-8.34
6.846,19.272,1.09,2,10.633,"M1",3.47,7.195,2.794,5,3.588,0.629,14.546,9.368,"nein",46,0.733,7.64,6,11.865,-6.047
7.214,18.28,1.223,2,10.261,"M1",3.672,7.755,3.834,7,2.054,0.658,12.12,9.114,"nein",46,0.736,7.811,6,12.816,1.614
7.076,20.075,1.161,2,11.03,"M1",3.494,8.148,3.331,7,1.664,0.783,17.048,9.417,"ja",48,0.294,6.456,8,12.456,-23.261
7.218,20.48,1.16,0,12.03,"M1",2.03,8.943,2.826,8,3.681,0.745,13.602,7.243,"nein",36,0.029,7.278,3,12.397,-5.021
7.498,20.696,1.203,0,12.017,"M1",3.895,6.428,3.965,6,4.511,0.833,13.694,9.353,"nein",46,0.583,7.428,10,13.062,1.632
6.944,18.246,1.046,0,10.499,"M1",3.073,7.1,1.769,8,2.235,0.841,16.101,8.504,"ja",42,0.805,6.062,10,14.182,-17.715
7.083,19.407,1.217,0,11.682,"M1",3.228,7.898,2.574,6,6.18,0.839,16.489,7.135,"ja",37,0.737,6.926,6,11.047,-19.57
6.811,20.413,1.041,1,9.951,"M2",3.511,9.076,3.257,4,2.118,0.875,15.833,9.136,"nein",45,0.269,7.749,5,12.367,-4.599
6.655,20.315,1.048,1,9.858,"M1",3.997,7.174,2.096,6,2.938,0.833,15.424,7.892,"nein",39,0.18,8.772,7,13.263,-8.045
7.53,19.55,1.194,2,11.472,"M1",3.083,8.373,3.247,10,6.989,0.691,13.721,9.527,"nein",47,0.376,6.591,6,10.896,-0.507
6.652,19.723,1.325,1,10.446,"M2",3.817,8.973,3.487,6,6.903,0.878,18.687,9.459,"ja",47,0.103,7.783,2,13.159,-29.615
6.811,18.626,1.126,2,10.375,"M1",3.31,8.469,2.372,6,3.819,1.055,16.288,8.025,"ja",40,0.972,7.453,8,11.06,-20.36
6.742,20.227,1.122,1,9.81,"M2",3.542,7.023,3.677,4,3.497,0.718,14.159,7.408,"nein",36,0.584,6.085,7,12.803,-2.404
7.201,19.138,1.292,1,10.271,"M1",3.275,8.77,2.819,3,3.552,0.773,16.375,8.298,"nein",41,0.661,7.164,10,13.461,-5.57
6.833,20.265,1.319,2,10.864,"M1",3.115,8.296,2.274,5,3.284,0.706,14.409,7.15,"nein",36,0.589,8.441,9,14.664,-6.669
7.006,20.877,1.172,3,10.903,"M2",2.491,8.268,3.619,7,3.62,0.912,14.051,7.57,"ja",37,1.002,6.039,9,11.023,-8.133
7.087,19.776,1.161,1,11.112,"M2",3.731,8.07,3.385,5,5.796,0.806,15.154,8.355,"ja",43,0.867,7.362,6,11.652,-13.351
6.746,20.746,1.358,1,10.425,"M1",2.903,8.03,3.638,3,5.68,0.975,15.026,6.996,"nein",34,0.672,7.649,10,12.74,-7.592
6.538,20.612,1.325,1,10.476,"M2",3.256,6.952,4.423,6,6.184,0.822,11.891,8.999,"nein",46,0.638,6.997,8,10.144,0.135
7.573,21.276,1.207,0,11.84,"M1",3.102,8.306,2.403,6,5.318,1.051,18.06,9.282,"nein",47,0.272,7.357,8,13.094,-8.491
7.085,21.843,1.095,0,10.134,"M1",3.583,7.938,3.174,4,4.583,0.816,11.852,9.614,"nein",49,0.474,6.332,8,12.039,0.95
7.565,20.202,1.303,1,10.468,"M2",1.999,8.355,2.739,8,2.204,0.957,14.86,8.383,"ja",41,0.844,7.43,6,11.109,-10.166
6.596,19.026,1.364,0,10.259,"M2",2.233,8.165,2.97,1,3.413,0.755,15.01,8.179,"ja",42,0.119,6.985,7,14.298,-17.526
6.941,17.63,1.237,1,10.711,"M1",2.615,7.589,3.504,6,5.754,0.862,12.957,8.982,"ja",46,0.109,7.591,10,13.397,-13.974
7.338,18.554,1.085,0,9.489,"M1",3.8,8.287,3.112,7,2.918,0.978,15.893,8.105,"nein",39,0.704,7.558,7,10.286,-4.262
7.102,20.073,1.191,0,11.109,"M1",2.409,8.34,3.051,8,1.44,0.679,13.357,7.842,"nein",40,0.847,6.873,10,10.058,-1.159
7.265,18.601,1.27,1,10.395,"M2",3.644,7.156,3.393,4,1.488,0.842,16.756,7.195,"ja",36,0.892,6.924,5,10.137,-13.483
7.429,17.965,1.078,1,11.214,"M2",2.308,8.491,2.837,5,5.321,0.771,12.103,7.339,"ja",38,0.763,6.661,8,10.192,0.905
7.15,19.974,1.33,3,10.526,"M2",2.95,8.47,3.481,5,2.469,0.773,14.776,9.076,"nein",45,0.808,7.644,5,13.228,-2.199
6.589,19.811,1.205,1,9.901,"M3",2.596,8.27,2.381,6,6.49,0.694,13.495,6.955,"ja",36,0.407,7.821,7,13.191,-17.739
7.121,18.928,0.963,1,11.275,"M2",2.552,7.747,3.045,8,1.583,0.882,14.728,7.359,"ja",37,0.847,9.32,7,10.382,-8.163
6.92,21.248,1.226,0,10.512,"M1",2.111,9.264,3.596,6,6.074,0.793,16.513,8.085,"nein",40,0.471,6.764,9,14.08,-10.514
7.095,19.811,1.118,1,11.172,"M2",2.427,7.838,3.107,5,6.476,0.772,15.643,9.037,"nein",46,0.386,6.974,4,14.983,-2.613
6.84,20.361,1.248,2,10.417,"M2",3.127,8.61,2.732,8,5.821,0.721,16.265,9.181,"nein",46,0.033,6.418,12,11.076,-3.298
7.046,20.985,1.237,1,11.401,"M1",3.168,7.593,2.959,6,2.907,1.043,12.435,9.544,"ja",48,0.115,6.899,7,10.547,-15.786
7.328,20.162,1.032,0,11.007,"M1",3.158,7.594,3.617,6,4.219,0.794,11.489,7.705,"ja",39,0.358,8.18,8,12.794,-7.153
6.196,20.802,1.362,2,9.391,"M1",2.556,8.776,2.643,3,1.677,0.997,15.54,9.073,"nein",46,0.471,6.072,10,10.263,-13.432
6.239,20.153,1.123,2,9.271,"M2",4.004,7.688,3.234,4,6.845,0.735,16.092,7.377,"ja",36,0.34,7.783,7,12.454,-20.217
7.218,18.873,1.081,0,11.179,"M2",3.137,7.534,2.809,4,5.288,0.63,14.951,9.411,"nein",48,0.728,8.682,4,14.43,-0.154
7.37,20.477,1.416,3,11.176,"M3",3.966,7.627,3.499,8,6.483,0.697,16.101,8.006,"nein",41,0.177,6.977,7,11.316,-8.487
7.223,19.78,1.291,0,9.748,"M1",3.699,7.855,3.075,3,1.446,0.695,15.195,9.505,"nein",46,0.055,6.036,8,11.921,-4.354
6.46,21.556,1.25,1,9.833,"M1",3.579,6.559,4.103,6,5.6,1.032,14.745,8.934,"nein",45,0.197,6.262,8,11.689,-9.867
7.352,20.015,1.116,1,11.233,"M2",2.877,8.365,2.582,8,3.884,0.856,19.033,9.314,"ja",46,0.317,7.302,9,13.142,-19.414
6.991,19.79,1.143,1,11.595,"M1",3.187,7.533,3.823,4,3.041,0.801,15.416,8.037,"ja",40,0.833,7.796,8,14.134,-18.072
6.962,19.754,1.031,1,9.078,"M2",2.184,7.495,3.119,8,3.736,0.876,12.552,9.276,"ja",47,0.875,7.657,6,13.874,-9.605
6.322,19.192,1.253,0,9.593,"M2",3.164,7.854,2.402,7,4.493,0.829,16.821,8.461,"ja",44,0.099,7.497,9,12.36,-22.675
6.696,20.477,1.356,2,9.081,"M2",2.69,7.94,3.14,8,2.332,0.659,12.903,8.359,"ja",41,0.608,7.074,6,10.972,-14.139
6.529,19.922,1.167,1,10.451,"M2",2.372,8.593,1.574,4,1.494,1.011,12.693,7.651,"ja",40,0.508,8.228,10,10.064,-9.651
