"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
6.586,19.667,1.203,1,9.919,"M3",2.373,1.122,58.166,7,5.063,1.017,0.551,9.737,"ja",50,0.32,6.969,6,13.128,-189.606
6.721,20.261,1.198,1,9.633,"M1",3.873,0.848,68.01,6,2.552,0.982,0.743,7.995,"ja",40,0.939,7.145,11,24.451,-161.57
7.143,19.786,1.254,2,10.17,"M2",2.293,0.855,58.101,5,5.212,0.739,0.609,9.703,"ja",48,0.149,7.884,5,11.236,-175.506
6.896,20.954,1.246,1,10.24,"M1",3.431,0.669,64.313,9,5.676,0.596,0.775,8.27,"nein",41,0.308,7.172,7,15.278,-167.602
7.102,17.925,0.942,1,10.628,"M3",3.98,1.42,55.536,4,3.318,0.877,0.947,8.459,"ja",43,0.718,7.409,8,17.498,-154.7
7.152,18.607,1.077,2,10.212,"M2",3.055,0.621,56.833,8,3.264,0.816,0.711,7.648,"nein",38,0.015,8.673,8,17.833,-135.232
6.934,20.388,1.203,0,11.027,"M1",3.686,0.696,60.269,7,3.24,0.892,0.717,8.604,"ja",42,0.05,7.287,5,11.096,-181.273
7.093,20.218,1.248,1,10.61,"M2",2.763,1.07,62.878,8,3.374,0.757,0.405,7.002,"ja",35,0.998,6.252,8,19.536,-143.586
7.255,19.639,1.22,1,10.652,"M1",2.166,0.678,58.924,6,1.768,0.806,0.755,8.793,"nein",45,0.593,8.091,10,24.441,-163.405
6.525,19.908,1.072,0,11.179,"M1",3.451,0.836,57.588,3,6.738,0.606,0.657,8.885,"ja",44,0.239,6.933,8,18.154,-175.223
6.298,19.989,1.352,0,10.009,"M3",2.079,1.009,58.179,4,1.887,0.788,0.431,9.314,"ja",47,0.024,6.354,4,8.625,-190.026
6.742,21.145,1.257,0,9.659,"M1",2.753,0.985,64.177,3,4.243,0.723,0.945,7.524,"ja",38,0.759,6.62,7,15.727,-161.853
6.719,17.634,1.061,1,10.553,"M1",2.37,0.988,54.261,5,1.339,0.909,0.477,8.272,"nein",41,0.587,7.198,8,17.902,-149.835
7.074,21.206,1.186,1,9.193,"M1",3.007,0.948,58.835,4,4.08,0.576,0.411,7.591,"nein",37,0.214,6.839,11,23.658,-153.138
6.865,18.607,1.181,1,10.413,"M3",2.678,0.933,56.115,7,6.634,0.773,0.468,7.715,"ja",38,0.15,5.692,4,9.188,-158.499
7.945,19.411,1.186,2,11.611,"M2",3.427,1.074,59.333,7,1.702,0.837,0.971,7.751,"ja",39,0.92,7.536,11,23.984,-136.777
7.204,19.722,1.122,2,10.739,"M1",2.836,1.048,54.826,6,3.797,0.686,1.015,8.813,"nein",44,0.34,6.647,10,24.945,-158.977
6.951,18.484,1.154,3,10.051,"M1",3.825,1.317,55.922,6,5.209,0.758,0.761,9.308,"ja",47,0.06,7.428,8,18.028,-171.959
7.178,18.482,1.178,0,10.823,"M1",3.355,1.016,57.378,5,4.733,0.763,0.762,7.613,"nein",37,0.355,7.085,9,19.234,-140.874
7.89,22.943,1.21,1,11.057,"M1",3.534,0.942,66.71,5,6.17,0.751,0.819,8.489,"ja",43,0.887,6.615,10,21.704,-166.661
6.85,18.56,1.227,2,10.978,"M2",3.349,0.738,57.517,5,5.063,0.87,0.462,9.051,"ja",45,0.622,7.41,6,12.983,-166.488
7.248,18.442,1.175,3,11.133,"M1",2.315,1.126,56.648,6,3.766,0.784,0.818,7.978,"ja",40,0.068,7.374,9,19.125,-151.402
7.207,19.238,1.116,2,10.051,"M2",3.694,0.934,60.264,7,1.361,0.906,0.411,8.676,"nein",44,0.915,7.803,9,21.582,-154.195
7.277,21.029,1.131,1,10.285,"M2",3.128,1.184,61.779,6,6.365,0.794,0.597,9.787,"nein",49,0.017,7.323,3,6.608,-173.606
7.485,19.821,1.262,0,11.467,"M1",3.208,0.643,56.428,7,2.15,0.906,0.817,9.645,"nein",47,0.532,7.22,6,14.053,-178.148
7.606,19.542,1.09,1,11.48,"M2",2.51,1.25,58.544,6,2.754,0.682,0.407,8.404,"ja",43,0.824,7.515,8,16.588,-151.864
7.471,22.112,1.185,0,11.046,"M1",3.596,0.944,66.577,9,6.052,0.832,0.821,9.487,"ja",48,0.629,7.642,7,16.102,-196.236
6.866,21.423,1.124,0,9.934,"M1",3.013,1.275,67.483,5,1.749,0.697,0.458,8.826,"nein",43,0.534,6.697,6,13.516,-173.944
6.427,22.686,1.384,2,9.279,"M1",3.443,0.889,67.283,3,6.681,0.815,0.752,7.968,"ja",40,0.966,7.122,6,14.435,-182.524
6.681,20.611,1.422,0,10.425,"M1",2.806,0.937,61.394,6,6.575,0.869,0.913,8.145,"nein",40,0.294,6.142,6,11.399,-161.75
