"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.378,18.029,1.281,1,9.927,"M2",2.099,0.881,56.873,8,19.992
6.784,20.106,1.303,0,9.989,"M1",2.754,1.719,61.136,7,15.716
6.626,18.424,1.064,2,9.599,"M2",2.747,0.985,59.096,7,21.999
6.786,19.324,1.318,1,10.113,"M1",3.523,1.351,58.577,7,16.098
6.762,20.508,1.132,0,10.139,"M2",3.562,1.168,65.905,5,22.208
6.45,20.442,1.197,1,9.718,"M2",3.064,0.561,59.323,8,20.894
6.886,20.289,1.366,1,10.514,"M1",3.768,0.981,58.12,6,17.239
6.914,20.02,1.201,3,10.666,"M1",2.865,1.006,60.547,8,18.527
6.541,17.983,1.253,0,10.192,"M1",2.914,0.929,55.546,7,15.526
7.857,19.231,1.336,0,10.843,"M1",3.631,0.994,58.639,10,26.037
6.592,19.739,1.21,1,10.895,"M2",2.415,1.115,55.663,5,20.2
7.006,19.864,1.451,2,10.808,"M1",3.265,1.166,57.741,7,17.004
6.673,18.953,1.04,0,8.912,"M1",4.017,0.968,59.704,7,16.848
6.195,19.793,1.444,1,9.428,"M1",3.849,0.855,59.951,8,11.166
7.83,19.014,1.161,1,11.592,"M1",3.104,0.937,60.174,4,26.02
6.609,19.891,1.204,1,11.446,"M1",2.177,0.896,60.827,6,16.868
7.142,19.495,1.296,0,10.318,"M1",2.257,1.24,56.196,7,18.047
6.81,18.654,1.217,0,10.895,"M1",2.608,0.698,53.635,4,18.866
6.903,20.766,1.126,2,9.976,"M2",2.257,0.906,63.171,4,24.595
7.033,20.308,1.286,1,10.884,"M1",2.526,1.056,61.092,7,17.066
7.665,17.949,1.243,1,11.61,"M2",3.078,0.627,52.995,8,30.745
6.598,18.964,1.279,1,10.993,"M2",2.576,1.097,57.692,7,21.345
7.563,19.71,1.096,1,12.048,"M2",3.924,1.061,59.552,4,29.93
7.63,18.532,1.394,1,11.487,"M1",2.091,0.496,52.295,6,24.252
6.653,19.097,1.288,1,10.192,"M1",2.708,0.822,62.846,4,14.961
7.159,20.075,1.224,2,11.243,"M2",3.131,1.147,61.62,5,25.9
6.951,19.612,1.138,0,10.135,"M2",3.061,1.173,55.841,6,23.596
7.564,19.994,1.242,2,11.888,"M2",2.302,0.859,58.171,4,29.391
6.444,20.224,1.443,1,9.654,"M1",3.865,1.42,60.682,5,11.57
7.081,19.084,1.099,1,10.262,"M1",3.914,0.904,57.002,5,19.552
