"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
6.658,20.489,1.223,2,9.683,"M2",3.999,1.033,2.603,6,6.917,0.857,0.418,9.882,"ja",51,0.386,7.392,6,13.918,13.633
7.026,17.679,1.14,1,10.674,"M1",2.245,0.687,2.982,6,4.706,0.781,0.549,7.658,"ja",38,0.53,6.49,8,11.072,17.798
6.864,19.318,1.242,0,9.813,"M1",4.017,0.767,4.121,4,5.814,0.523,0.877,6.943,"ja",35,0.018,6.449,8,13.527,13.994
6.654,19.613,1.077,2,9.622,"M2",2.256,1.326,3.458,6,4.589,0.752,0.542,7.961,"nein",40,0.404,7.328,7,10.787,30.006
6.912,19.716,1.209,1,10.516,"M3",2.482,0.818,3.489,6,6.81,0.695,0.667,9.463,"ja",47,0.708,7.686,7,14.352,11.957
6.317,20.285,1.112,2,9.548,"M1",2.234,1.04,2.946,6,6.829,0.909,0.539,7.699,"ja",38,0.227,5.599,5,10.618,10.12
6.4,20.495,1.143,1,8.928,"M1",2.723,1.008,4.289,5,1.326,0.829,0.975,8.886,"ja",44,0.472,7.169,5,10.531,6.573
6.704,18.436,1.362,0,10.122,"M1",3.287,1.185,3.67,6,6.535,0.713,1.018,7.988,"ja",40,0.951,7.711,10,12.552,12.608
6.691,19.848,1.372,0,9.647,"M3",2.236,0.629,3.094,8,6.176,0.684,0.955,8.25,"ja",42,0.19,6.836,7,10.858,9.575
6.716,18.459,1.236,2,9.885,"M3",3.501,0.999,3.966,7,1.475,0.747,0.675,7.638,"ja",38,0.77,7.548,10,12.917,14.898
7.552,20.019,1.269,2,11.189,"M2",3.755,0.952,3.957,7,2.042,0.797,0.537,7.859,"ja",39,0.978,6.664,9,13.242,26.114
6.978,18.697,1.275,2,10.987,"M1",3.766,1.368,3.745,5,6.827,0.89,0.428,7.417,"nein",38,0.562,7.453,7,13.837,26.768
6.628,19.126,1.142,1,10.111,"M1",2.567,0.873,2.826,6,3.276,0.953,0.806,7.163,"ja",36,0.103,7.156,6,11.444,12.751
7.076,20.738,1.158,0,10.907,"M1",3.637,1.163,2.654,7,3.907,0.886,0.903,8.389,"nein",42,0.611,8.137,6,12.662,25.966
7.289,18.545,1.085,2,10.878,"M2",2.131,1.297,2.343,9,6.977,0.897,0.596,8.921,"nein",46,0.56,8.448,7,13.974,35.773
6.891,20.491,1.319,0,10.011,"M1",2.201,1.032,3.674,2,2.79,0.842,0.777,9.228,"ja",46,0.926,8.119,8,11.212,11.157
6.76,19.874,1.233,0,9.475,"M3",2.006,0.88,3.454,6,3.895,0.848,0.936,9.208,"ja",47,0.3,7.364,6,12.799,8.247
7.334,21.086,1.341,0,10.728,"M1",3.032,1.021,3.262,10,3.8,0.792,0.547,9.52,"ja",48,0.338,7.195,5,14.788,13.091
7.434,19.719,1.291,0,12.073,"M1",2.925,0.878,4.19,4,5.478,0.805,0.811,8.542,"ja",43,0.76,6.66,9,11.365,17.079
7.392,18.917,1.309,2,10.162,"M1",3.842,1.13,3.738,9,5.463,0.927,0.415,9.402,"ja",46,0.857,7.36,11,11.065,17.936
6.738,20.596,1.183,0,10.108,"M1",3.622,0.88,3.198,8,4.892,0.827,0.926,7.416,"nein",37,0.051,6.667,8,11.788,23.878
6.293,21.26,1.221,1,9.279,"M1",3.639,0.982,3.4,9,3.907,0.778,0.43,7.293,"nein",36,0.787,5.52,4,11.611,18.398
6.431,20.48,1.066,0,9.596,"M1",3.196,1.281,3.072,4,1.492,0.77,0.613,7.15,"nein",36,0.869,7.052,9,14.714,23.892
6.437,19.067,1.289,0,9.532,"M1",3.599,0.968,3.339,5,3.193,0.888,0.593,7.812,"ja",39,0.189,7.391,8,12.114,11.793
6.956,19.216,1.343,2,10.408,"M2",2.394,0.75,2.938,8,6.372,0.905,0.693,7.326,"nein",36,0.165,8.309,7,13.055,32.301
6.525,20.337,1.181,1,10.154,"M1",2.603,1.183,2.532,8,5.31,0.941,0.501,8.856,"ja",45,0.973,6.509,7,10.662,10.071
5.964,18.714,1.157,2,9.442,"M2",2.736,1.05,1.723,5,3.585,0.762,0.63,9.676,"ja",49,0.905,7.41,9,11.455,11.287
6.767,20.374,1.208,1,10.125,"M1",2.076,0.918,2.863,8,3.233,0.776,0.786,9.574,"nein",46,0.018,7.36,6,12.561,24.441
6.733,19.899,0.962,0,9.491,"M1",3.261,0.762,2.78,4,5.939,0.871,0.955,7.595,"ja",38,0.721,6.918,9,10.685,15.934
6.643,19.976,1.18,1,10.149,"M1",3.512,0.701,3.203,8,4.354,0.939,0.877,8.038,"ja",39,0.162,7.066,4,14.899,10.985
