"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.931,20.134,1.274,0,10.848,"M2",3.656,8.689,56.814,8,18.77
7.077,20.26,1.004,0,10.494,"M2",3.514,8.326,61.205,6,20.446
7.061,18.867,1.211,3,11.221,"M2",2.067,7.631,56.514,3,20.95
6.628,19.739,0.965,0,8.699,"M1",3.893,8.383,60.447,5,11.898
6.709,22.161,0.956,3,9.869,"M2",3.68,8.547,68.636,6,17.549
7.837,18.781,1.159,2,11.917,"M2",3.184,7.645,54.88,3,27.755
7.313,21.206,1.253,2,11.398,"M1",2.695,6.947,62.725,6,17.254
7.363,20.045,1.136,1,10.818,"M1",2.244,7.407,64.308,4,17.688
7.218,19.279,1.14,1,10.006,"M2",3.402,8.178,56.579,8,22.071
7.283,18.826,1.318,0,10.787,"M2",3.377,8.714,56.426,2,21.592
6.986,20.168,1.073,2,9.75,"M1",3.431,7.921,60.067,6,15.533
6.769,19.928,1.332,1,10.452,"M1",2.096,8.499,62.197,9,11.001
7.261,20.722,1.306,0,11.543,"M1",3.908,8.374,64.886,7,15.03
7.637,19.323,1.313,1,11.924,"M1",1.974,7.701,59.107,6,18.831
7.719,20.232,1.163,2,11.515,"M1",2.653,7.546,58.998,5,20.136
6.864,20.159,1.22,0,9.955,"M2",2.758,8.389,61.846,7,17.32
6.31,19.02,1.063,2,9.896,"M1",2.058,8.651,56.857,4,9.743
7.425,20.379,1.3,2,10.898,"M1",3.239,8.284,60.882,6,16.932
6.958,21.738,1.107,1,11.459,"M1",3.3,7.843,64.261,7,13.767
6.978,21.448,1.29,2,10.63,"M1",2.372,8.512,63.589,4,12.924
6.316,20.158,1.139,1,10.385,"M2",2.022,7.955,64.774,8,15.227
7.541,21.224,1.283,0,11.625,"M1",3.536,6.953,62.907,7,19.144
6.588,18.616,1.374,0,10.303,"M3",2.041,7.059,57.119,6,10.382
7.242,21.93,1.199,2,10.87,"M1",3.524,7.901,63.332,5,16.703
6.869,19.38,0.965,2,10.506,"M1",2.508,8.032,58.545,6,15.312
7.107,20.152,1.084,0,10.657,"M3",3.896,8.69,57.061,6,15.028
7.455,21.044,1.208,1,11.244,"M2",2.321,8.827,65.895,3,22.574
7.098,20.86,1.106,0,11.062,"M2",2.466,7.91,65.078,5,21.652
6.735,21.409,1.211,3,9.355,"M1",2.298,8.285,67.823,6,11.562
6.604,19.363,1.162,2,10.445,"M1",3.839,8.019,59.724,4,12.058
7.052,18.96,1.281,1,11.241,"M1",2.851,8.279,59.345,6,14.147
7.063,19.759,1.256,2,10.002,"M2",2.851,7.744,58.103,5,20.575
