"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.75,18.844,1.046,1,10.655,"M1",3.515,1.031,3.123,8,18.619
7.044,19.184,0.987,0,11.697,"M2",2.407,1.185,4.993,2,26.248
7.039,20.662,1.045,1,8.388,"M1",3.274,1.011,2.581,4,19.817
6.816,20.017,1.274,2,11.001,"M1",2.586,0.934,2.572,7,16.521
6.757,21.338,1.386,1,10.265,"M1",2.482,1.019,3.636,3,14.336
7.233,18.007,1.363,2,10.423,"M1",3.237,1.314,3.14,5,20.778
7.312,18.105,1.242,0,11.753,"M2",3.665,0.769,3.506,4,27.954
6.528,19.298,1.125,2,9.482,"M2",2.089,0.972,3.49,7,22.084
7.367,19.668,1.122,0,11.657,"M1",3.464,0.848,3.053,9,24.129
7.023,20.727,1.361,0,10.4,"M2",3.013,0.858,4.16,4,22.772
6.441,19.174,1.193,1,10.257,"M1",3.125,1.04,3.297,6,14.923
6.543,18.201,1.248,2,10.32,"M1",2.112,1.197,2.352,5,15.93
6.658,20.86,1.316,0,9.267,"M2",2.032,1.05,2.961,5,19.41
7.504,21.603,1.175,1,11.278,"M2",2.507,1.13,2.717,6,28.561
6.534,21.403,1.136,1,8.68,"M1",2.969,0.885,3.738,3,14.323
6.759,18.203,1.163,0,11.013,"M1",3.265,1.032,4.814,4,18.553
7.262,17.468,1.051,3,11.214,"M1",3.668,0.913,3.108,5,24.007
6.911,18.793,1.227,1,9.469,"M2",3.225,0.708,4.561,7,24.37
6.612,19.723,1.156,0,9.242,"M1",2.711,1.064,4.069,6,16.56
7.105,17.5,1.251,1,10.175,"M1",3.846,1.095,2.891,6,20.449
7.659,19.91,1.225,1,11.14,"M2",2.599,0.899,3.199,6,29.63
6.93,19.516,1.232,0,10.04,"M2",2.29,0.911,3.247,6,23.169
6.954,23.148,1.15,2,10.478,"M2",3.164,0.856,3.05,7,23.253
6.454,18.977,1.215,2,10.15,"M1",2.824,0.783,1.804,7,15.419
7.212,18.734,1.222,2,10.762,"M1",3.025,1.054,4.057,8,21.2
6.845,18.732,1.328,2,11.487,"M2",2.306,0.607,3.318,6,22.761
7.251,20.764,0.984,0,11.727,"M3",2.93,1.028,3.36,6,21.998
7.519,19.221,1.428,3,11.67,"M1",3.239,1.371,3.717,5,22.865
7.242,21.293,1.012,0,10.759,"M2",2.503,0.907,1.977,6,26.622
7.096,20.214,1.154,1,10.426,"M2",3.024,0.998,2.64,5,24.333
6.957,18.644,1.229,2,9.544,"M2",3.435,0.87,2.993,5,23.304
6.667,19.571,1.125,0,10.18,"M1",2.809,1.262,2.916,6,16.57
6.225,19.831,1.169,2,10.328,"M1",2.849,1.141,4.307,6,13.07
7.222,21.238,1.155,4,10.767,"M3",3.394,0.887,4.037,7,21.502
7.199,20.294,1.277,0,11,"M1",3.374,1.139,3.005,4,19.552
7.082,19.438,0.995,2,10.573,"M1",2.778,1.026,3.252,5,21.454
8.128,20.648,0.985,2,12.391,"M1",3.092,1.168,4.194,8,30.05
7.174,21.648,1.164,0,11.124,"M1",3.073,0.861,2.847,5,20.383
7.472,19.922,1.151,0,10.954,"M1",2.973,1.001,4.39,5,22.659
6.943,19.603,1.305,1,10.618,"M1",2.728,0.767,3.813,7,17.007
7.363,19.165,1.195,1,10.991,"M2",2.519,1.09,5.077,4,28.366
6.705,19.764,1.097,1,9.961,"M1",2.293,1.113,3.851,7,17.006
6.943,19.598,1.369,2,12.235,"M2",3.378,0.867,3.436,4,22.778
6.882,19.472,1.168,1,9.803,"M2",2.856,0.718,2.955,8,23.274
7.1,19.317,1.126,0,11.255,"M1",2.522,1.205,4.011,5,20.266
6.497,19.093,1.122,0,9.896,"M1",2.334,0.825,2.092,9,15.615
6.591,18.624,1.305,2,10.373,"M1",2.956,1.014,3.327,5,16.5
6.944,21.113,1.357,2,10.746,"M1",3.144,0.892,3.634,6,16.355
7.096,21.366,1.147,0,11.578,"M1",2.277,1.092,2.703,4,20.12
7.259,20.413,1.12,2,10.215,"M3",2.281,0.914,4.047,5,21.414
6.79,21.602,1.188,1,10.579,"M2",2.044,1.147,3.094,9,21.077
7.378,19.657,1.134,1,10.054,"M1",3.051,0.814,2.141,6,23.497
6.786,18.274,1.032,3,11.763,"M1",2.554,0.869,3.148,8,20.135
7.093,21.424,1.309,1,10.599,"M1",2.875,0.869,3.176,5,18.7
7.5,19.505,0.876,0,10.952,"M2",3.067,0.648,3.946,4,32.148
7.948,21.614,1.341,1,13.144,"M1",2.202,1.323,2.941,6,25.104
7.255,19.608,1.174,0,10.795,"M3",3.217,1.093,3.619,5,21.64
6.885,20.332,1.122,1,9.716,"M1",2.231,0.905,4.552,5,18.85
6.746,18.547,1.067,3,10.076,"M2",3.574,1.028,3.981,6,23.654
6.824,20.561,1.04,1,9.905,"M1",3.611,1.24,3.246,4,18.875
7.84,18.595,1.113,1,11.598,"M1",3.537,0.916,3.093,6,32.281
7.141,18.437,1.307,1,9.916,"M1",3.282,1.164,2.94,6,18.536
6.858,21.389,1.203,1,10.447,"M1",2.429,1.035,3.429,7,16.254
7.593,20.082,1.309,2,12.916,"M1",2.487,0.693,3.778,2,24.065
6.492,19.627,1.275,0,10.114,"M1",2.341,1.107,1.893,6,15.333
7.332,19.247,1.337,0,11.854,"M1",2.561,1.118,2.594,4,20.481
6.545,21.798,1.092,0,10.376,"M1",2.176,1.052,2.287,9,15.406
7.224,20.212,1.099,0,10.787,"M2",3.548,1.065,2.546,6,26.789
6.97,19.061,1.132,2,9.922,"M2",2.658,0.564,4.51,9,26.066
7.022,20.985,1.201,1,10.214,"M1",2.777,1.129,3.027,9,18.499
7.082,19.438,1.206,0,10.022,"M2",2.13,1.023,2.634,7,24.724
6.694,19.512,1.212,1,10.575,"M2",3.31,0.885,2.805,9,22.002
6.66,21.822,1.406,0,9.975,"M1",3.762,1.193,4.625,6,13.191
7.018,20.349,1.092,2,10.609,"M1",2.167,0.597,2.658,6,19.103
7.233,18.758,1.274,1,12.499,"M3",3.835,0.688,2.777,7,20.585
6.733,19.125,1.078,2,9.806,"M2",2.66,0.807,3.189,10,24.003
6.977,19.709,1.272,2,10,"M3",3.502,1.017,1.445,4,18.525
7.326,19.169,1.102,0,10.131,"M2",3.17,0.873,2.466,8,27.667
6.73,20.945,1.409,0,9.763,"M2",3.769,0.938,4.564,4,20.637
6.84,20.707,1.225,0,11.4,"M1",2.04,0.977,3.518,7,17.04
7.341,18.711,1.296,1,11.921,"M3",3.861,0.856,3.112,4,21.7
7.495,21.976,1.115,0,11.346,"M3",2.64,0.96,3.409,6,23.929
7.509,20.376,1.176,2,12.165,"M3",3.924,0.819,3.865,3,23.931
7.59,19.341,1.173,0,12.475,"M1",3.026,0.628,4.066,5,25.03
7.378,19.975,1.225,0,10.45,"M1",2.721,1.031,4.689,10,20.959
7.349,20.586,1.252,0,10.274,"M1",3.796,0.834,2.654,9,21.972
6.585,20.35,1.149,3,10.174,"M1",3.737,1.006,2.503,7,16.595
6.918,19.709,1.184,1,11.194,"M3",3.222,1.006,2.857,6,19.456
6.816,19.71,1.293,1,10.49,"M1",3.145,0.828,3.248,6,18.576
6.169,20.103,1.092,1,8.83,"M1",3.673,1.232,3.871,5,12.676
6.969,20.627,1.279,3,10.636,"M2",2.12,0.86,2.832,7,23.403
6.324,21.496,1.107,2,9.929,"M1",2.883,1.078,3.396,6,13.975
6.833,20.06,1.132,1,11.887,"M3",2.442,1.235,3.62,8,18.061
7.505,19.739,1.308,0,11.655,"M2",2.873,0.983,3.305,5,26.799
7.184,19.347,1.164,0,9.96,"M3",2.918,0.94,2.848,4,21.271
6.452,19.09,1.187,0,10.848,"M1",2.627,1.142,4.022,7,15.656
6.697,21.335,1.149,1,8.679,"M3",3.591,1.038,2.91,5,15.855
7.471,19.797,1.336,1,11.521,"M1",3.272,1.28,3.852,7,21.029
