"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
7.112,19.592,1.266,1,11.247,"M2",3.259,7.839,3.135,8,1.54,0.743,10.889,9.157,"nein",46,0.596,6.995,7,13.393,-43.472
6.267,20.535,1.241,2,9.277,"M1",3.46,7.132,2.207,5,2.615,0.872,13.714,9.549,"ja",48,0.129,7.342,7,14.171,-61.513
7.449,19.28,1.118,0,9.764,"M2",2.886,7.433,2.98,5,5.745,0.933,15.386,9.833,"nein",50,0.296,6.758,5,12.691,-24.096
7.572,19.79,1.231,2,11.68,"M2",2.495,8.866,2.752,6,4.046,0.808,16.153,9.044,"nein",46,0.531,7.054,10,11.973,1.587
6.958,20.378,1.08,0,10.41,"M1",3.394,8.123,1.722,3,6.667,0.885,11.331,7.304,"nein",37,0.87,8.423,7,13.735,-32.123
8.134,20.919,1.244,2,12.865,"M1",3.826,7.339,2.745,3,2.875,0.784,16.149,7.899,"nein",40,0.141,7.441,11,11.864,-6.76
7.236,19.769,1.036,0,10.798,"M1",3.858,7.194,2.446,9,4.096,0.729,14.924,8.941,"ja",44,0.307,6.299,6,13.181,-32.97
7.533,19.468,1.308,1,11.845,"M1",3.294,9.373,4.571,5,5.97,0.776,14.008,8.891,"ja",42,0.607,8.533,7,10.298,-25.744
7.126,19.528,0.961,3,11.217,"M1",3.134,8.798,2.673,3,1.361,0.619,16.527,9.01,"ja",46,0.334,8.955,11,12.3,-10.07
6.851,20.46,1.11,0,10.152,"M1",3.595,7.795,2.245,6,4.541,0.833,17.429,9.896,"ja",48,0.8,7.848,10,10.434,-30.533
6.461,19.146,1.044,1,10.248,"M1",2.635,8.589,3.345,9,5.702,0.773,13.654,8.426,"nein",43,0.321,5.621,8,10.385,-19.86
6.627,18.83,1.125,0,9.578,"M1",3.31,8.472,2.205,9,1.231,0.881,11.047,7.861,"ja",40,0.486,6.756,5,13.547,-42.318
6.589,20.909,0.951,0,9.507,"M2",2.676,8.371,2.563,4,1.641,0.694,15.021,7.978,"ja",40,0.632,6.021,10,12.797,-5.569
7.139,21.025,1.274,1,10.338,"M1",3.762,7.796,3.098,1,3.971,0.911,15.704,8.93,"ja",44,0.685,8.189,7,14.667,-33.148
6.841,20.356,1.263,0,9.773,"M1",2.767,7.954,3.215,6,3.495,0.786,17.028,7.975,"ja",40,0.211,6.116,6,14.277,-7.889
7.06,21.154,1.374,1,11.057,"M1",3.574,7.722,3.679,6,4.306,0.839,13.251,8.758,"ja",43,0.266,8.375,11,15.184,-46.185
7.863,20.252,1.164,0,12.592,"M1",3.219,8.599,3.603,5,5.301,0.827,14.203,8.587,"nein",43,0.258,5.661,7,14.025,-22.013
7.104,19.167,1.231,2,10.182,"M1",2.428,7.474,3.341,9,2.416,0.76,13.612,8.936,"ja",45,0.008,6.319,7,12.718,-38.093
6.703,19.595,1.124,0,10.303,"M1",2.179,8.697,3.084,7,2.342,0.882,19.938,9.17,"ja",46,0.292,7.708,9,11.461,9.346
6.652,19.966,1.05,1,8.539,"M1",3.756,8.442,3.301,8,2.172,0.899,17.76,8.545,"nein",42,0.177,5.989,10,13.87,2.851
6.973,18.921,1.157,2,9.976,"M3",2.738,8.186,3.505,7,2.649,0.829,13.855,7.106,"nein",36,0.655,8.411,6,12.761,-8.23
6.909,20.514,1.141,1,10.143,"M1",2.998,7.75,3.422,9,3.775,0.774,16.828,7.085,"ja",36,0.469,7.318,12,13.312,3.651
7.778,20.602,1.323,2,11.377,"M1",2.782,8.559,3.86,5,1.79,0.794,15.725,8.284,"nein",42,0.386,5.912,9,12.481,-12.142
7.358,20.782,1.151,0,11.379,"M1",2.008,7.94,4.663,4,5.437,0.813,12.698,9.618,"ja",47,0.326,7.581,7,11.591,-59.204
7.215,20.123,1.137,0,9.805,"M1",3.06,7.332,1.397,7,6.187,0.669,13.659,8.815,"ja",44,0.61,8.504,9,13.652,-42.779
7.342,18.901,1.273,0,11.555,"M2",2.55,7.617,2.002,6,3.521,0.935,12.992,9.366,"ja",46,0.823,5.887,10,12.957,-33.374
7.592,19.095,1.291,1,12.39,"M1",2.359,8.876,2.541,6,2.549,0.776,13.87,7.163,"ja",37,0.187,6.808,10,10.502,-5.29
7.15,19.975,1.129,0,10.06,"M2",2.593,7.83,2.317,7,6.053,0.829,14.364,8.595,"nein",43,0.258,6.469,9,11.513,-12.337
7.024,20.348,1.321,0,10.647,"M1",2.392,8.156,2.881,9,2.89,0.753,14.796,10.272,"nein",49,0.042,7.546,9,10.201,-40.626
7.653,19.605,1.24,2,12.458,"M1",3.894,7.393,3.71,4,2.726,0.916,15.559,9.862,"ja",49,0.948,6.735,4,13.966,-45.132
